Src IP,Dest IP,Protocol,Count,Unsecured
10.40.32.109,169.253.14.44,ARP,1,FALSE
10.40.32.109,169.253.14.44,HTTP,1,TRUE
10.40.32.151,169.253.14.44,HTTP,1,TRUE
10.40.32.151,169.253.14.44,ARP,1,FALSE
10.40.32.208,169.253.14.44,HTTP,1,TRUE
10.40.32.194,169.253.14.44,ARP,1,FALSE
10.40.32.194,169.253.14.44,HTTP,1,TRUE
10.40.32.125,169.253.14.44,ARP,1,FALSE
10.40.32.125,169.253.14.44,HTTP,1,TRUE
10.40.32.183,169.253.14.44,ARP,1,FALSE
10.40.32.183,169.253.14.44,HTTP,1,TRUE
10.40.32.53,169.253.14.44,ARP,1,FALSE
10.40.32.53,169.253.14.44,HTTP,1,TRUE
10.253.253.231,169.253.14.44,ARP,1,FALSE
10.40.32.104,169.253.14.44,ARP,1,FALSE
10.40.34.124,169.253.14.44,HTTP,1,TRUE
10.40.32.113,169.253.14.44,ARP,1,FALSE
10.40.34.243,169.253.14.44,HTTP,1,TRUE
10.40.32.112,169.253.14.44,ARP,1,FALSE
10.40.32.115,169.253.14.44,ARP,1,FALSE
10.40.32.115,169.253.14.44,HTTP,1,TRUE
10.40.32.115,169.253.14.44,HTTP,1,TRUE
10.49.199.253,169.253.14.44,ARP,1,FALSE
10.40.34.121,169.253.14.44,ARP,1,FALSE
10.40.34.121,169.253.14.44,HTTP,1,TRUE
10.40.34.124,169.253.14.44,ARP,1,FALSE
10.40.32.104,169.253.14.44,HTTP,1,TRUE
10.40.32.114,169.253.14.44,ARP,1,FALSE
10.49.198.238,169.253.14.44,ARP,1,FALSE
10.49.198.238,169.253.14.44,HTTP,1,TRUE
10.40.32.53,169.253.138.58,ARP,2,FALSE
10.40.32.53,169.253.138.58,SSL,1,TRUE
10.40.33.121,169.253.156.86,ARP,2,FALSE
10.40.32.121,169.253.156.86,BROWSER,1,FALSE
10.40.33.132,169.253.156.86,BROWSER,1,FALSE
10.40.33.132,169.253.156.86,ICMP,1,FALSE
10.40.33.121,169.253.156.86,LLMNR,1,FALSE
10.40.32.121,169.253.160.164,ARP,2,FALSE
10.40.32.1,169.253.160.164,ARP,2,FALSE
10.40.32.105,169.253.160.164,ARP,2,FALSE
10.40.34.253,169.253.160.164,ARP,2,FALSE
10.40.32.154,169.253.160.164,ARP,2,FALSE
10.40.32.32,169.253.160.164,ARP,2,FALSE
10.49.199.253,169.253.160.164,ARP,2,FALSE
10.40.32.124,169.253.160.164,ARP,1,FALSE
10.40.32.152,169.253.160.164,ARP,1,FALSE
10.40.32.105,169.253.160.164,ARP,1,FALSE
10.40.34.195,169.253.160.164,ARP,1,FALSE
10.40.32.2,169.253.160.164,ARP,1,FALSE
10.40.32.140,169.253.160.164,ARP,1,FALSE
10.40.32.122,169.253.160.164,ARP,1,FALSE
10.40.32.50,169.253.160.164,ARP,1,FALSE
10.40.32.53,169.253.160.164,ARP,1,FALSE
10.40.32.51,169.253.160.164,ARP,1,FALSE
10.40.34.40,169.253.160.164,ARP,1,FALSE
10.40.32.186,169.253.160.164,ARP,1,FALSE
10.40.32.186,169.253.160.164,ARP,1,FALSE
10.40.32.105,169.253.160.164,ARP,1,FALSE
10.40.215.91,169.253.160.164,ARP,1,FALSE
10.40.32.232,169.253.160.164,ARP,1,FALSE
10.40.32.153,169.253.160.164,ARP,1,FALSE
10.40.32.136,169.253.160.164,ARP,1,FALSE
10.40.32.156,169.253.160.164,ARP,1,FALSE
10.40.33.132,169.253.161.44,ICMP,1,FALSE
10.40.33.132,169.253.161.44,BROWSER,1,FALSE
10.40.33.119,169.253.161.44,ARP,1,FALSE
10.40.33.119,169.253.161.44,UDP,1,FALSE
10.40.32.152,169.253.161.44,BROWSER,1,FALSE
10.40.33.136,169.253.161.44,ARP,1,FALSE
10.40.33.144,169.253.161.44,ARP,1,FALSE
10.40.32.112,169.253.161.44,BROWSER,1,FALSE
10.40.33.121,169.253.161.44,ARP,1,FALSE
10.40.32.2,169.253.162.226,ARP,1,FALSE
10.40.32.1,169.253.162.226,ARP,1,FALSE
10.40.32.223,169.253.166.38,TDS,35,FALSE
10.40.34.253,169.253.166.38,ARP,4,FALSE
10.40.32.252,169.253.166.38,SSL,2,TRUE
10.29.12.23,169.253.166.38,SSL,2,TRUE
10.253.253.231,169.253.166.38,TCP,1,FALSE
10.49.199.253,169.253.166.38,ARP,1,FALSE
10.40.215.91,169.253.166.38,ARP,1,FALSE
10.29.12.59,169.253.166.38,SSL,1,TRUE
10.40.34.253,169.253.166.38,ICMP,1,FALSE
10.40.32.1,169.253.166.38,TCP,1,FALSE
10.40.32.1,169.253.166.38,UDP,1,FALSE
10.40.32.2,169.253.166.38,ICMP,1,FALSE
10.40.32.2,169.253.166.38,NTP,1,FALSE
10.40.32.2,169.253.166.38,UDP,1,FALSE
10.49.198.65,169.253.166.38,ARP,1,FALSE
10.40.32.1,169.253.166.38,ICMP,1,FALSE
10.40.32.1,169.253.166.38,NTP,1,FALSE
10.40.34.194,169.253.169.16,SMB,9,TRUE
10.40.32.53,169.253.169.16,SSL,4,TRUE
10.40.34.142,169.253.169.16,VNC,4,TRUE
10.40.32.12,169.253.169.16,VNC,4,TRUE
10.40.32.128,169.253.169.16,VNC,4,TRUE
10.40.43.150,169.253.169.16,VNC,2,TRUE
10.253.253.231,169.253.169.16,ARP,2,FALSE
10.40.34.200,169.253.169.16,ARP,2,FALSE
10.40.34.195,169.253.169.16,ARP,2,FALSE
10.40.32.2,169.253.169.16,UDP,2,FALSE
10.40.32.2,169.253.169.16,ARP,2,FALSE
10.40.32.1,169.253.169.16,ARP,2,FALSE
10.40.32.162,169.253.169.16,ARP,2,FALSE
10.40.32.53,169.253.169.16,ARP,2,FALSE
10.40.34.40,169.253.169.16,ARP,2,FALSE
10.29.12.23,169.253.169.16,SSL,2,TRUE
10.40.34.253,169.253.169.16,ARP,2,FALSE
10.40.32.234,169.253.169.16,SENTINEL-SRM,1,FALSE
10.49.199.253,169.253.169.16,ARP,1,FALSE
10.40.34.166,169.253.169.16,ARP,1,FALSE
10.40.32.153,169.253.169.16,ARP,1,FALSE
10.40.32.113,169.253.169.16,ARP,1,FALSE
10.49.198.6,169.253.169.16,ICMP,1,FALSE
10.40.34.194,169.253.169.16,ARP,1,FALSE
10.40.34.136,169.253.169.16,ARP,1,FALSE
10.40.32.12,169.253.169.16,ARP,1,FALSE
10.40.32.114,169.253.169.16,ARP,1,FALSE
10.29.12.59,169.253.169.16,SSL,1,TRUE
10.40.34.36,169.253.169.16,ICMP,1,FALSE
10.40.34.36,169.253.169.16,ARP,1,FALSE
10.40.32.1,169.253.169.16,NTP,1,FALSE
10.40.32.1,169.253.169.16,UDP,1,FALSE
10.40.32.115,169.253.169.16,ARP,1,FALSE
10.40.34.240,169.253.169.16,ARP,1,FALSE
10.40.34.69,169.253.169.16,ARP,1,FALSE
10.40.32.146,169.253.169.253,TCP,1,FALSE
10.40.32.136,169.253.169.253,TCP,1,FALSE
10.40.32.115,169.253.169.253,TCP,1,FALSE
10.40.32.194,169.253.169.253,TCP,1,FALSE
10.40.32.149,169.253.169.253,TCP,1,FALSE
10.40.32.30,169.253.169.253,TCP,1,FALSE
10.40.32.110,169.253.169.253,TCP,1,FALSE
10.40.32.129,169.253.169.253,TCP,1,FALSE
10.40.32.140,169.253.169.253,TCP,1,FALSE
10.40.32.121,169.253.169.253,TCP,1,FALSE
10.40.32.146,169.253.169.253,TCP,1,FALSE
10.40.32.160,169.253.169.253,TCP,1,FALSE
10.40.32.161,169.253.169.253,TCP,1,FALSE
10.40.32.99,169.253.169.253,TCP,1,FALSE
10.40.32.50,169.253.169.253,TCP,1,FALSE
10.49.199.162,169.253.169.253,TCP,1,FALSE
10.40.32.36,169.253.169.253,TCP,1,FALSE
10.40.32.35,169.253.169.253,TCP,1,FALSE
10.40.32.122,169.253.169.253,TCP,1,FALSE
10.40.34.191,169.253.169.253,TCP,1,FALSE
10.40.34.162,169.253.169.253,TCP,1,FALSE
10.40.32.113,169.253.169.253,TCP,1,FALSE
10.40.34.136,169.253.169.253,TCP,1,FALSE
10.40.32.205,169.253.169.253,TCP,1,FALSE
10.40.32.102,169.253.169.253,TCP,1,FALSE
10.40.34.190,169.253.169.253,TCP,1,FALSE
